Id,Expected,Rooms,SqrMeters,Floor,Location,Description
213,269000,2,45,3,Poznań Jeżyce ul. Mylna,Przedmiotem sprzedaży jest mieszakanie 2 pokojowe o pow. 45 30m2 na Jeżycach. Mieszkanie usytuowane na 3 piętrze 5 kondygnacyjnego bloku z windą. Rozkład pomieszczeń Salon z aneksem kuchennym w wyposażeniu pozostają meble wraz z sprzętem AGD...
214,248091,2,40.34,3,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
215,308066,3,50.92,4,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
216,323357,3,56.36,1,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
217,385000,3,95.77,3,Poznań Stare Miasto Centrum ul. Krakowska,DOSKONAŁA LOKALIZACJA - 1 MINUTA SPACEREM DO STAREGO BROWARU! ZAKUP TYLKO ZA GOTÓWKĘ! Na sprzedaż 3-pokojowe mieszkanie o powierzchni 95 77m2 położone na III piętrze w KAMIENICY przy ul. Krakowskiej w ścisłym centrum (STARE MIASTO)....
218,323983,1,44.26,3,Poznań ul. Droga Dębińska 19,Nieruchomości Mieszkania Nieruchomości Mieszkania
219,469000,4,92,2,Poznań Różany Potok ul. Drewsa,Polecam do sprzedaży mieszkanie 4 pokojowe położone w doskonałej lokalizacji wśród zieleni na cichym i spokojnym osiedlu Różany Potok znajdujące się na 2 piętrze w trzypiętrowy blok z cegły. Mieszkanie o powierzchnia 92 8 m 2 składa się : z...
220,274900,2,49,11,Poznań Piątkowo ul. Os. Sobieskiego,Oferuję na sprzedaż mieszkanie 2 pokojowe o pow. 49 3m2 na Piątkowie os. Jana III Sobieskiego. Pokoje ok. 22m2 z dużą loggią i 9m2 kuchnia w zabudowie łazienka wc i przedpokój. Mieszkanie jest po kapitalnym remoncie z wymianą instalacji...
221,400000,3,69,4,Poznań Rataje ul. Os. Rusa,Zachęcam do zapoznania się z ofertą sprzedaży mieszkania na poznańskich Ratajach os. Rusa. Duże przestronne słoneczne mieszkanie posiadające niezależne 3 pokoje kuchnię łazienkę oraz korytarz. Mieszkanie jest bardzo zadbane gotowe do...
222,370000,3,72,4,Poznań Jeżyce ul. Mylna,BEZPIECZNA TRANSAKCJA TYLKO Z LICENCJONOWANYM POŚREDNIKIEM! Na sprzedaż w PEŁNI WYPOSAŻONE 3-pokojowe mieszkanie z BALKONEM w budynku ATANERA z 1998r. Nieruchomość (ok.72m2) znajduje się na IV piętrze i składa się z: - przestronnego pokoju...
223,269000,2,45,8,Poznań Rataje Starołęka Warszawskie Chartowo Śró ul. Tysiąclecia,Na sprzedaż mieszkanie na osiedlu Tysiąclecia w dzielnicy Rataje. Lokal znajduje się na ósmym piętrze w bloku z windą. Łączna powierzchnia nieruchomości to 45 m2. MIESZKANIE PO KAPITALNYM REMONCIE: -wymieniona instalacje elektryczna ...
224,159000,2,35,1,Poznań Zawady,Witam! Mam na sprzedaż mieszkanie 2-pokojowe o powierzchni 35 m^2 w okazyjnej cenie. Do mieszkania należy osobne wejście. Pod blokiem sporo miejsc parkingowych. W okolicy pętla tramwajowa przystanek autobusowy market i bank. Mieszkanie...
225,334573,4,72.93,1,Poznań Plewiska Luboń Dąbrówka Komorniki Grunwald ul. Szkolna 107,Kominek
226,289000,3,66.3,1,Poznań Grunwald Łazarz ul. Józefa Chociszewskiego,Na sprzedaż mieszkanie 3 pokojowe o powierzchni 66 3m2. Mieszkanie znajduje się na parterze w 3 -piętrowym budynku z cegły z lat 50tych. W budynku były dokonane prace: izolacja fundamentów oraz stropów w piwnicy remont dachu wymienione piony...
227,239000,2,47,9,Poznań Winiary ul. Os.Zwycięstwa,Zarezerwowane !!! Oferuje na sprzedaż mieszkanie na WINOGRADACH Os.Zwycięstwa położone blisko szybkiego Tramwaju Pestka znajdujące się na 9 piętrze w wysokim bloku z balkonem całe mieszkanie ma powierzchnię 46 8 m 2 Lokal składa się z :...
228,516101,3,77.03,6,Poznań Jeżyce ul. Botaniczna,Na początku 2014 r. na poznańskich Ogrodach w jednym z najbardziej malowniczych miejsc w Poznaniu rozpoczeła się budowa Osiedla Botaniczna. Największym atutem Osiedla Botaniczna jest jego lokalizacja zapewniająca zarówno bliskość terenów...
229,245000,2,46,2,Poznań Podolany ul. 2 Pokoje Cicha Okolica ( Jezioro! ),Na sprzedaż przestronne słoneczne mieszkanie położone na 2 piętrze w bloku w spokojnej i cichej dzielnicy Podolany w Poznaniu. Na powierzchnię 46 m2 składa się pokój dzienny z aneksem kuchennym sypialnia oraz łazienka. Mieszkanie z widokiem na...
230,531544,2,45.47,2,Poznań Stare Miasto ul. Dominikańska,Zapraszamy do zapoznania się z nową inwestycją firmy Jakś-Bud! Dominikańska 9 oferuje 52 luksusowe apartamenty o powierzchni od 31 m2 do ponad 200 m2. W cenie już od 7.960 zł./m2 brutto. Ulica Dominikańska znajduje się w samym sercu Poznania i...
231,409000,3,93,1,Poznań Wilda ul. Wilda/ Wierzbięcice / Czajcza/Św.Jerzego,Polecam na sprzedaż przestronne mieszkanie o powierzchni 92 5 m2 składające się z 3 pokoi (28m2 25m2 9m2 ) kuchni (15m2) łazienki (9m2) korytarza (7m2) i WC (można przerobić na skrytkę). Mieszkanie położone na 1 piętrze kamienicy na ul....
232,299000,3,59.1,1,Poznań Piątkowo ul. Os. Łokietka,* GWARANTUJEMY BEZPIECZNĄ TRANSAKCJĘ I PROFESJONALNĄ OBSŁUGĘ * Gorąco polecam na sprzedaż - ładne i ciepłe - 3 pokojowe mieszkanie położone na parterze w niskim 4 piętrowym bloku. Przedmiotowy lokal znajduje się na Piątkowie na osiedlu...
233,195500,1,33.5,1,Poznań Grunwald Łazarz ul. Kanałowa,Atrakcyjne mieszkanie w zrewitalizowanej kamienicy ul. Kolejowa Łazarz Nieruchomość złożona z: • przedpokój 3 4 m.kw • łazienka 3 6 m.kw • pokój 21 1 m.kw • aneks kuchenny 5 4 m.kw W skład nieruchomości wchodzi też: • miejsce parkingowe Typ...
234,399000,2,66.7,2,Poznań Jeżyce ul. Dąbrowskiego,Ciche mieszkanie na drugim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Jeżyce. Dwa pokoje okna wychodzące na zachód; widok na inne budynki. Standard wykończenia: Ściany - tynk strukturalny; Podłogi - wylewka samopoziomująca; Okna - PCV;...
235,182247,1,37.6,2,Poznań Grunwald ul. Promienista,Mieszkanie dostępne w ramach MDM na rynku wtórnym. Szacunkowe kwoty dopłat: a) singiel 20 000 PLN - wówczas cena 1 m2 wyniesie 4315 PLN/m2 b) małżeństwo z jednym dzieckiem 30 000 PLN - wówczas cena 1 m2 wyniesie 4049 PLN/m2 Polecam do...
236,309000,3,59,4,Poznań Nowe Miasto,Polecamy na sprzedaż mieszkanie które w 2008 roku przeszło generalny remont. Drzwi wewnętrzne oraz okna są nowe. Budynek jest 4-piętrowy bez windy z ocieploną elewacją. Mieszkanie jest bardzo jasne z dużym balkonem całkowicie umeblowane z...
237,315000,3,79,8,Poznań Rataje ul. Os. Orła Białego,Rozkładowe przestronne mieszkanie na ósmym piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Rataje. Trzy pokoje okna wychodzące na wschód zachód; widok na miasto. Standard wykończenia: Ściany - gładź gipsowa tynk; Podłogi - panele...
238,195000,2,38.3,2,Poznań Winogrady ul. Os. Pod Lipami,DOSKONAŁA LOKALIZACJA NA OS. POD LIPAMI UKŁAD NIEZALEŻNY. Polecam do sprzedaży mieszkanie pokojowe położone na 2 piętrze w jedenastopiętrowym budynku na os. Pod Lipami. Budynek ocieplony. W mieszkaniu do każdego pokoju oraz kuchni i łazienki...
239,220000,2,38,3,Poznań Grunwald ul. Bułgarska,Biuro Obrotu Nieruchomościami Monterian serdecznie poleca na sprzedaż mieszkanie położone na Grunwaldzie na ul.Bułgarskiej. Mieszkanie o metrażu 38mkw składa się z dwóch pokoi jasnej kuchni przedpokoju oraz łazienki z WC. Z większego pokoju...
240,232000,1,33.9,1,Poznań Wilda ul. Górna Wilda,Na sprzedaż kawalerka na Górnej Wildzie w Poznaniu. Na powierzchnię 33 9 m2składa się: salon oddzielna kuchnia łazienka z WC oraz przedpokój. Mieszkanie jest w pełni umeblowane. W przedpokoju i salonie znajdują się szafy typu komandor kuchnia...
241,499000,2,60,7,Poznań Rataje ul. Os. Piastowskie,Polecam do najmu komfortowe dwupokojowe mieszkanie blisko centrum Poznania. Mieszkanie znajduje się w apartamentowcu PELIKAN (os. Piastowskie 120). Głównym atutem apartamentu jest jego prestiżowa lokalizacja charakter i jakość wykończenia które...
242,585000,3,88,1,Poznań Stare Miasto ul. Kwiatowa,Polecam do sprzedaży mieszkanie 3-pokojowe 88m2 przy ul.Kwiatowej w kamienicy z1920r. na 1.piętrze. Pokoje niezależne(23m2 24m2 18m2) kuchnia ustawna (11 52m2 ) z małą spiżarnią(1 5m2) łazienka z oknem w płytkach razem z WC( 4m2) Okna nowe...
243,470000,4,69,3,Poznań Naramowice ul. Karpia,Atrakcyjne mieszkanie o powierzchni 69 m2 na ul. Karpia na Naramowicach ! Mieszkanie położone na trzecim piętrze wybudowane w 2010r przez dewelopera GANT Development . Składa się z przestronnego pokoju z aneksem kuchennym (18 11m2) trzech...
244,250000,2,49.7,3,Poznań Grunwald Grunwald Południe ul. Chociszewskiego,| Na sprzedaż przestronne mieszkanie 2-pokojowe na Grunwaldzie! Mieszkanie o powierzchni 49 7 m2 znajduje się na 3 piętrze ocieplonego bloku z cegły. Powierzchnię lokalu stanowią przedpokój dwa niezależne pokoje oddzielna kuchnia oraz...
245,227949,2,38.57,1,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
246,215000,2,46,1,Poznań Łazarz,UWAGA! PROWIZJĘ BIURA POKRYWA WŁAŚCICIEL! Polecam Państwa uwadze dwupokojowe mieszkanie w okolicach Głogowskiej ul. Załęże. Mieszkanie usytuowane jest na pierwszym piętrze (budynek czteropiętrowy ocieplony elewacja czysta po remoncie)....
247,615000,3,103,4,Poznań Jeżyce ul. Dąbrowskiego,Nowa oferta na poznańskim runku nieruchomości! Apartament w pasażu Jeżyckim przy ul. Dąbrowskiego. Budynek wybudowany w 1999 roku przez poznańskiego dewelopera firmę Ataner . Ciekawa bryła wnętrze budynku przeszklone. Dwie...
248,279790,1,39.97,4,Poznań Jeżyce ul. Poznańska 1-3,NOWY ADRES NA JEŻYCACH: POZNAŃSKA 1 POZNAŃSKA 1 to nowo budowana inwestycja mieszkaniowa u zbiegu ulic Kościelnej i Poznańskiej. Inwestycja zlokalizowana jest w centrum miasta w historycznej dzielnicy Jeżyce z bezpośrednim dostępem do...
249,236600,1,36,2,Poznań Jeżyce,Polecamy!!!! Kawalerka na II piętrze odnowionej kamienicy przy ul. Jackowskiego na poznańskich Jeżycach. Kamienica datowana na 1902 rok została gruntownie zrewitalizowana. Zadbano o najmniejsze szczegóły gdzie tylko to było możliwe starano...
250,224000,2,38,8,Poznań ul. Os. Kosmonautów,Witaj! Zapraszam Cię do słonecznego 2-pokojowego mieszkania znajdującego się na siódmym piętrze jednego z wysokich odnowionych bloków na Osiedlu Kosmonautów w skład którego wchodzą dwa niezależne pokoje (ok. 11m2 i 16m2) oddzielna kuchnia bez...
251,255000,2,42.9,10,Poznań Rataje ul. Czecha,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem OC od transakcji. Serdecznie zapraszam do zapoznania się z ofertą dwupokojowego mieszkania zlokalizowanego na osiedlu Czecha (Rataje). Całość powierzchni 42.9 m2.Nieruchomość położona...
252,470000,3,69,3,Poznań Naramowice ul. Karpia,Polecam Państwu na sprzedaż pięknie i funkcjonalnie mieszkanie przy ulicy Karpia (Naramowice) w Poznaniu. Mieszkanie usytuowane jest na trzecim piętrze czterokondygnacyjnego budynku z cegły z 2010 roku. Składa się z trzech niezależnych pokoi ...
253,310000,3,64,8,Poznań Rataje ul. Os. Orła Białego,Mieszkanie trzypokojowe w doskonałej lokalizacji na osiedlu Orła Białego!!! Kupujący nie płaci prowizji ! Wynagrodzenie dla biura pokrywa sprzedający! OPIS MIESZKANIA: Mieszkanie trzypokojowe na Ratajach na osiedlu Orła Białego o powierzchni 64...
254,280000,2,44.5,1,Poznań Górczyn,MIESZKANIE GÓRCZYN HIT CENOWY! Polecam na sprzedaż oryginalnie wykończone mieszkanie o powierzchni 44 5 mkw w zrewitalizowanej kamienicy na Górczynie. Nieruchomość składa się z otwartej przestrzeni wygodnego salonu wraz z wyposażonym...
255,324900,4,74,3,Poznań Piątkowo ul. Os.Bolesława Chrobrego,Bardzo ładne mieszkanie 4-pokojowe o powierzchni 74m2 położone w Poznaniu na Piątkowie na os.B.Chrobrego w niskiej zabudowie w bardzo ładnym spokojnym miejscu. Dogodny szybki dojazd do centrum miasta także szybkim tramwajem lub komunikacją...
256,299000,2,43.1,1,Poznań Grunwald ul. Wyspiańskiego,Na sprzedaż mieszkanie (43 1 m2) zlokalizowane na parterze w kamienicy przy ul. Wyspiańskiego 13. W jego skład wchodzą: pokój z aneksem kuchennym sypialnia łazienka z WC. Kamienica po renowacji która obejmowała odnowienie elewacji wraz z...
257,328842,3,57.19,1,Poznań ul. Karpia 25,Nieruchomości Mieszkania Nieruchomości Mieszkania
258,379500,2,63.25,4,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
259,360000,3,109.5,4,Poznań Jeżyce Centrum ul. Jackowskiego Kraszewskiego,Dwupoziomowe mieszkanie blisko centrum miasta! Główne atuty nieruchomości: bardzo dobra lokalizacja Jeżyce- Centrum doskonała komunikacja z resztą miasta bliskość komunikacji miejskiej ( autobusy tramwaje). Polecam do zakupu bardzo ładne...
260,274000,2,55.8,2,Poznań Centrum ul. Kościuszki,OFERTA LICENCJONOWANEGO POŚREDNIKA - GWARANCJA BEZPIECZNEJ TRANSAKCJI Polecam na sprzedaż 2 pokojowe mieszkanie o pow 55 8 m2 położone na 2 piętrze w niskim bloku przy ul. Kościuszki ( ścisłe centrum) w Poznaniu. W skład mieszkania wchodzi:...
261,311766,3,54.6,2,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
262,250000,2,50,3,Poznań Grunwald ul. Chociszewskiego,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem od odpowiedzialności cywilnej od transakcji Serdecznie polecam na sprzedaż bardzo atrakcyjne mieszkanie zlokalizowane na ul. Chociszewskiego/ Reymonta w bliskim sąsiedztwie Parku przy...
263,320000,3,76,1,Poznań Grunwald ul. Dopłata W Mdm,Oferta nr 14/MN/08-3 Bardzo dobra lokalizacja do zamieszkania na inwestycję na wynajem lub na prowadzenie biura. Z powodzeniem wynajmowane od kilku lat. Duże mieszkanie 3 pokojowe w kamienicy z lat 30-tych XXw na Grunwaldzie/Łazarzu!...
264,341248,2,55.04,1,Poznań Winogrady ul. Hawelańska,Nieruchomości Mieszkania Nieruchomości Mieszkania
265,259997,2,44.52,1,Poznań Piątkowo ul. Mateckiego 4c Miejsce Parkingowe W Cenie,Mieszkanie dwupokojowe z aneksem kuchennym.Promocja! Dwa Miejsca parkingowe w podziemnej hali garażowej w cenie.
266,351000,2,62.5,2,Poznań Poznań-Grunwald ul. Jana Matejki,Oferta sprzedaży mieszkania o łącznej powierzchni 62 5 m2 na 2 piętrze rewitalizowanej zabytkowej kamienicy położonej przy ulicy Matejki jednej z najelegantszych ulic śródmieścia Poznania złożonej głównie z secesyjnych kamienic w...
267,150000,2,40,1,Poznań Jeżyce ul. Grudzieniec,Polecam do sprzedaży 2 pokojowe mieszkanie w kamienicy (cegła) na pierwszym piętrze na Jeżycach ul. Grudzieniec. Dwa pokoje (20m2 i 9m2) kuchnia oddzielna łazienka. W pokojach i na korytarzu na podłodze panele ściany malowane. Kuchnia do...
268,220000,1,30,2,Poznań Górczyn ul. Hetmańska / Głogowska,Doskonała lokalizacja świetny punkt komunikacyjny u zbiegu ulic: Hetmańska / Głogowska - polecam do sprzedaży bardzo ładną nowszą kawalerkę wybudowaną w 2007 roku ( blok z windą). Mieszkanie o powierzchni 30 m2 składające się z jasnej ...
269,231353,2,48.22,4,Poznań ul. Grudzińskiego 7 Swarzędz,Mieszkanie w programie MDM!!! Na sprzedaż mieszkanie o powierzchni 48 22m2 w samym centrum Swarzędza przy ulicy Grudzińskiego 7. Składa się z salonu kuchni w formie aneksu sypialni łazienki oraz ustawnego korytarza. Do mieszkania przynależy...
270,420000,5,91,4,Poznań Jeżyce Centrum ul. Kraszewskiego,Dwupoziomowe mieszkanie blisko centrum miasta! Główne atuty nieruchomości: bardzo dobra lokalizacja Jeżyce- Centrum doskonała komunikacja z resztą miasta bliskość komunikacji miejskiej. Polecam do zakupu bardzo ładne mieszkanie na ul....
271,206205,1,34.95,1,Poznań Winogrady ul. Hawelańska,Nieruchomości Mieszkania Nieruchomości Mieszkania
272,265000,3,47,3,Poznań Rataje ul. Os. Armii Krajowej,Na sprzedaż bardzo ładne 3 pokojowe mieszkanie w Poznaniu na os. Armii Krajowej. Mieszkanie o powierzchni 47 20 m2 znajduje się na 3-piętrze w niskim 4-piętrowym bloku. Układ: 3 niezależne ustawne pokoje (powierzchnia 15 m2 9 m2 i 7 m2) ...
273,389000,3,60,2,Poznań Poznań-Grunwald ul. Jana Matejki,Oferta sprzedaży mieszkania o łącznej powierzchni 60 m2 na 2 piętrze rewitalizowanej zabytkowej kamienicy położonej przy ulicy Matejki jednej z najelegantszych ulic śródmieścia Poznania złożonej głównie z secesyjnych kamienic w bezpośredniej...
274,149000,1,21,5,Poznań ul. Szpitalna,Oferuję kawalerkę na 4 piętrze w niskim zadbanym bloku z cegły. Budynek znajduje się w bliskim sąsiedztwie pętli autobusowej Ogrody dzięki czemu miejsce bardzo dobrze skomunikowane z resztą miasta. W bliskim sąsiedztwie liczne punkty usługowo ...
275,238000,2,40,3,Poznań Łazarz ul. Łukaszewicza,* GWARANTUJEMY BEZPIECZNĄ TRANSAKCJĘ I PROFESJONALNĄ OBSŁUGĘ * Gorąco polecam na sprzedaż 2 pokojowe mieszkanie o powierzchni 39 6m2. Mieszkanie położone jest na 3 piętrze czteropiętrowego budynku przy ulicy Łukaszewicza . Całe mieszkanie...
276,265000,2,50,1,Poznań Grunwald ul. Newtona,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem od odpowiedzialności cywilnej od transakcji Serdecznie polecam na sprzedaż bardzo atrakcyjne mieszkanie nie wymaga dodatkowego wkładu finansowego przy wprowadzeniu. Składa się z dwóch...
277,239000,2,47,4,Poznań ul. Łokietka Osiedle,Polecam do sprzedaży 2-pokojowe mieszkanie położone na 4 piętrze w ocieplonym niskim bloku na os. Łokietka. Powierzchnia mieszkania wynosi 45 4 m2 i składa się z: jasnej kuchni pokoju dziennego z wyjściem na loggię (ok. 20 m2) sypialni (ok. 10...
278,183000,1,37,2,Poznań Grunwals ul. Raszyńska,Mieszkanie na Grunwaldzie 2 piętro z balkonem. Aktualnie 1 duży pokój ( pierwotnie mieszkanie 2 pokojowe ) Niskie koszty utrzymania miesięczne 250-300 PLN w tym jest czynsz ogrzewanie woda i śmieci. Mieszkanie ciepłe (cegła) ciche w...
279,255000,2,42.42,10,Poznań Nowe Miasto ul. Os. Czecha,Jasne mieszkanie na dziesiątym piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Nowe Miasto. Dwa pokoje okna wychodzące na wschód zachód; widok na panoramę miasta. Standard wykończenia: Ściany - glazura gładź gipsowa; Podłogi - panele...
280,279000,2,43.5,1,Poznań Grunwald ul. Raszyńska,Przestronne mieszkanie na parterze w bloku mieszkalnym w Poznaniu w dzielnicy Grunwald. Dwa pokoje okna wychodzące na północ zachód; widok na inne budynki. Standard wykończenia: Ściany - tapeta; Podłogi - panele podłogowe; Okna - PCV;...
281,235000,2,53.2,1,Poznań Grunwald ul. Husarska Grochowska,Polecam na sprzedaż dwupokojowe mieszkanie znajdujące się na ulicy Husarskiej. Lokal o powierzchni 53 2m2 znajduje się na 1 piętrze w niskim ocieplonym bloku wykonanym z cegły. Pokoje o wymiarach ok 22m2 i 10m2 łazienka 3 2m2 duża jasna kuchnia...
282,299000,4,73.78,1,Poznań Grunwald ul. Plewiska Ul. Fabianowska 77,Prezentujemy mieszkanie na pietrze w zabudowie szeregowej dwulokalowej jednorodzinnej na Słonecznych Tarasach 2 w podpoznańskich Plewiskach przy ul. Fabianowskiej 77. Typ mieszkania: F3' Zapraszamy do kontaktu z działem firmy Twoje M
283,305361,2,48.47,3,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
284,185000,1,35,1,Poznań Rataje Śródka Zawady Malta ul. Tomickiego,Zapraszamy do zapoznania się z ofertą sprzedaży kawalerki położonej niedaleko Ronda ŚRÓDKA- ulica Tomickiego. Lokal usytuowany jest na wysokim parterze w NISKIM BLOKU Na 35 2 m2 składa się: kuchnia 9 m2 przestronny salon 19 m2 łazienka 4m2 ...
285,269070,2,44.92,3,Poznań Jeżyce Grunwald Stare Miasto ul. Jackowskiego 27,STYLOWE MIESZKANIE W KAMIENICY UL. JACKOWSKIEGO 27 BEZPOŚREDNIO! OKAZJA!!! Polecamy mieszkanie o powierzchni 44 92 m2 w zrewitalizowanej zabytkowej kamienicy w sercu poznańskich Jeżyc. Słoneczne i przestrzenne mieszkanie na III PIĘTRZE budynku ...
286,355000,4,74,3,Poznań ul. Os. Bolesława Chrobrego,Sprzedam 4 pokojowe mieszkanie zlokalizowane na os. B. Chrobrego na poznańskim Piątkowie. Łączna powierzchnia mieszkania to 74 2 m2 mieszkanie ma 4 pokoje jasną kuchnię łazienkę osobne WC i korytarz. W największym pokoju spora loggia na...
287,230000,2,39,6,Poznań Górczyn,Polecam zakup mieszkania dwu pokojowego w idealnej lokalizacji o powierzchni 39m 2 w bloku przy ul. Kordeckiego / Górczyn. Dwa niezależne pokoje oddzielna kuchnia łazienka korytarz piwnica. Mieszkanie mieści się na 6 piętrze w bloku ...
288,298000,3,64,1,Poznań Grunwald ul. Raszkowska,Ciche mieszkanie na parterze w bloku mieszkalnym w Poznaniu w dzielnicy Grunwald. Trzy pokoje okna wychodzące na północ południe; widok na drzewa. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - parkiet; Okna - PCV; Parapety -...
289,264496,2,43.36,1,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
290,220000,2,47,1,Poznań Grunwald ul. Łazarz Hetmańska,TRANSAKCJA Z LICENCJONOWANYM POŚREDNIKIEM BEZPIECZNĄ TRANSAKCJĄ Mieszkanie o pow. 47 10 m2 położone na pierwszym piętrze wysokiego bloku z płyty przy ul. Hetmańskiej (os.Hetmańskie). Stan prawny: spółdzielcze własnościowe prawo do lokalu...
291,690000,5,138,1,Poznań Rataje ul. Rataje Centrum Serafitek Św. Rocha,OFERTA LICENCJONOWANEGO POŚREDNIKA - kupujesz bezpiecznie z ubezpieczeniem OC od transakcji Polecam na sprzedaż 5 pokojowe mieszkanie w bardzo dobrym standardzie zlokalizowane na 1 piętrze niskiego bloku z cegły z 1999r przy ul. św. Rocha/...
292,279000,2,49.8,1,Poznań Poznań-Stare Miasto ul. Garbary,*** 2 POKOJE *** ŚCISŁE CENTRUM *** DOSKONAŁA LOKALIZACJA *** Klimatyczne dwupokojowe mieszkanie w centrum Poznania w pobliżu Starego Rynku. Lokal położony jest na pierwszym piętrze w dwupiętrowej kamienicy z początku XXw. Na...
293,263000,3,44,1,Poznań Grunwald,Polecam na sprzedaż mieszkanie 3-pokojowe w Poznaniu na Grunwaldzie w okolicy ul. Marcelińskiej. Mieszkanie jest w stanie bardzo dobrym. Budynek ocieplony nowa elewacja. Właściciele przeprowadzili niedawno remont. Drzwi wejściowe...
294,284684,2,47.6,5,Poznań Winogrady ul. Wilczak 20,Mieszkanie 2-pokojowe z aneksem kuchennym.
295,230000,2,41.2,2,Poznań Grunwald ul. Hetmańska,MIESZKANIE PO GENERALNYM REMONCIE W ZREWITALIZOWANEJ KAMIENICY. MOŻLIWA OPCJA ZAKUPU Z SYSTEMIE MDM. Mieszkanie położone w dobrze skomunikowanej dzielnicy leżącej na obrzeżach Centrum Poznaniu tj. na Górczynie. Kamienica w pełni odrestaurowana...
296,218466,2,36.11,4,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
297,350000,4,75.76,10,Poznań Nowe Miasto ul. Stare Żegrze,OFERTA LICENCJONOWANEGO POŚREDNIKA - GWARANCJA BEZPIECZNEJ TRANSAKCJI POLECAM NA SPRZEDAŻ Przestronne ładne i słoneczne 4 pokojowe mieszkanie o pow 75 76m2 zlokalizowane na 10 piętrze w wysokim bloku na os. Stare Żegrze w Poznaniu....
298,306000,1,45.69,5,Poznań Wilda Dębiec Centrum ul. Przemysłowa,Zapraszamy do oglądania mieszkania w doskonałej lokalizacji! Lokal do własnej aranżacji - może być to przestronne studio lub mieszkanie 2 pokojowe! Piękny widok na miasto! Budynek położony jest w dzielnicy Wilda w jej północnej części...
299,480000,3,66,1,Poznań ul. 23 Lutego,Bezpieczna Transakcja z Pośrednikiem 19 lat doświadczeń na rynku nieruchomości !!! Mieszkanie Sprzedaż Poznań Centrum Stare Miasto okolice Starego Rynku 3 pokoje Polecam na sprzedaż mieszkanie nowe w stanie deweloperskim położone na 1 piętrze w...
300,210000,3,49,4,Poznań Grunwald ul. Bułgarska,Sprzedam niedrogo trzypokojowe na Grunwaldzie Poznań BEZPIECZNA TRANSAKCJA TYLKO Z LICENCJONOWANYM BIUREM NIERUCHOMOŚCI. Polecamy do zakupu mieszkanie trzypokojowe z balkonem o powierzchni 48 5 m2 położone na czwartym pietrze w niskim cztero...
301,344000,3,62,1,Poznań Wilda Centrum Dęciec ul. Powstańcza,Polecamy do sprzedaży atrakcyjne mieszkanie zlokalizowane na Wildzie przy ul. Powstańczej. Mieszkanie 3 pokojowe o powierzchni 62m2 składa się z : - dużego pokoju (ok 20 m2) z przylegającą do niego garderobą małą łazienką (toaleta prysznic))...
302,99000,1,22.76,1,Poznań Golęcin ul. Szydłowska 41,UNIWERSYTET PRZYRODNICZY W POZNANIU OGŁASZA PRZETARG PISEMNY NIEOGRANICZONY NA SPRZEDAŻ NASTĘPUJĄCEJ NIERUCHOMOŚCI: LOKALIZACJA: Poznań ulica Szydłowska 41/10 obręb Golęcin woj. wielkopolskie POWIERZCHNIA: lokal mieszkalny o pow. 22 76 m2 ...
303,340000,4,70.8,4,Poznań Łazarz,Mieszkanie 4-pokojowe o powierzchni 71m2 na Łazarzu na sprzedaż. Mieszkanie składa się z 4 pokoi. Pokój 16m2 jest pokojem przechodnim do sypialni (10 5m2) ale istnieje możliwość zrobienia wejścia z korytarza. Pozostałe dwa pokoje mają około...
